0,1955
1,1570
2,1464
3,1417
4,1340
5,1340
6,1340
7,1340
8,1340
9,1337
10,1337
11,1336
12,1336
13,1336
14,1336
15,1336
16,1336
17,1336
18,1336
19,1336
20,1336
21,1336
22,1336
23,1336
24,1336
25,1336
26,1336
27,1336
28,1336
29,1336
30,1336
31,1336
32,1336
33,1336
34,1336
35,1336
36,1336
37,1336
38,1336
39,1336
40,1336
41,1336
42,1336
43,1336
44,1336
45,1336
46,1336
47,1336
48,1336
49,1336
50,1336
51,1334
52,1334
53,1334
54,1334
55,1334
56,1334
57,1328
58,1328
59,1328
60,1328
61,1328
62,1328
63,1328
64,1328
65,1328
66,1328
67,1328
68,1328
69,1328
70,1328
71,1328
72,1328
73,1328
74,1328
75,1328
76,1328
77,1328
78,1328
79,1328
80,1328
81,1328
82,1328
83,1328
84,1328
85,1328
86,1328
87,1328
88,1328
89,1328
90,1328
91,1328
92,1328
93,1328
94,1328
95,1328
96,1328
97,1328
98,1328
99,1328
100,1328
101,1328
102,1328
103,1328
104,1328
105,1328
106,1328
107,1328
108,1328
109,1328
110,1328
111,1328
112,1328
113,1328
114,1328
115,1328
116,1328
117,1328
118,1328
119,1328
120,1328
121,1328
122,1328
123,1328
124,1328
125,1328
126,1328
127,1328
128,1328
129,1328
130,1328
131,1328
132,1328
133,1328
134,1328
135,1328
136,1328
137,1328
138,1328
139,1328
140,1328
141,1328
142,1328
143,1328
144,1328
145,1328
146,1328
147,1328
148,1328
149,1328
150,1328
151,1328
152,1328
153,1328
154,1328
155,1328
156,1328
